" Date","AMZN Mkt Cap","NFLX Mkt Cap","GOOGL Mkt Cap","AAPL Mkt Cap","FB Mkt Cap"
11-13-2009,"57,573.75","3,173.88","181,494.51","184,143.70","0.00"
11-12-2009,"56,517.27","3,112.89","180,161.97","181,928.03","0.00"
11-11-2009,"56,248.82","3,179.76","181,021.77","183,062.89","0.00"
11-10-2009,"56,352.74","3,124.13","179,816.15","182,819.70","0.00"
11-09-2009,"54,845.96","3,059.93","178,467.75","181,450.69","0.00"
11-06-2009,"54,642.45","2,988.25","174,847.69","175,037.85","0.00"
11-05-2009,"52,222.08","3,016.60","174,070.38","174,758.72","0.00"
11-04-2009,"50,702.31","2,897.31","171,430.69","171,858.44","0.00"
11-03-2009,"51,252.20","2,875.37","170,090.59","170,003.05","0.00"
11-02-2009,"51,455.70","2,878.05","169,045.91","170,507.43","0.00"
10-30-2009,"51,442.71","2,859.32","169,720.21","169,777.87","0.00"
10-29-2009,"53,073.76","2,959.36","174,446.62","176,848.22","0.00"
10-28-2009,"52,668.05","2,864.14","171,043.47","173,290.52","0.00"
10-27-2009,"52,854.23","2,901.59","173,572.88","177,766.90","0.00"
10-26-2009,"53,966.96","2,951.34","175,446.98","182,192.60","0.00"
10-23-2009,"51,304.16","2,999.34","175,282.36","183,506.32","0.00"
10-22-2009,"40,352.36","2,711.92","175,408.99","184,640.08","0.00"
10-21-2009,"40,339.41","2,747.34","174,462.44","184,388.13","0.00"
10-20-2009,"41,013.03","2,811.07","174,658.72","178,845.33","0.00"
10-19-2009,"40,883.49","2,859.30","174,775.85","170,837.07","0.00"
10-16-2009,"41,159.84","2,812.80","174,066.73","168,458.33","0.00"
10-15-2009,"41,457.79","2,890.88","167,754.30","170,706.83","0.00"
10-14-2009,"42,083.91","2,759.97","169,466.95","171,360.77","0.00"
10-13-2009,"40,948.26","2,669.26","166,551.33","170,223.09","0.00"
10-12-2009,"40,417.14","2,644.57","165,896.02","170,930.77","0.00"
10-09-2009,"41,328.25","2,693.37","163,429.93","170,626.22","0.00"
10-08-2009,"41,116.66","2,643.42","162,774.63","169,551.22","0.00"
10-07-2009,"40,576.90","2,655.48","163,838.31","170,429.12","0.00"
10-06-2009,"39,255.57","2,650.88","157,886.77","170,214.13","0.00"
10-05-2009,"38,288.33","2,607.82","154,651.41","166,643.41","0.00"
10-02-2009,"38,797.86","2,567.63","153,404.12","165,636.51","0.00"
10-01-2009,"39,311.71","2,561.89","154,233.54","162,017.33","0.00"
09-30-2009,"40,313.50","2,650.88","156,971.88","166,039.61","0.00"
09-29-2009,"39,605.34","2,656.05","157,820.29","166,066.50","0.00"
09-28-2009,"39,816.92","2,639.40","157,820.29","166,757.99","0.00"
09-25-2009,"39,087.17","2,656.05","155,905.03","163,370.09","0.00"
09-24-2009,"39,773.74","2,676.72","157,263.13","164,669.04","0.00"
09-23-2009,"39,890.33","2,689.93","157,798.13","166,174.01","0.00"
09-22-2009,"40,481.91","2,740.45","157,988.07","165,260.26","0.00"
09-21-2009,"39,104.44","2,727.25","157,335.94","164,848.18","0.00"
09-18-2009,"38,983.54","2,721.51","155,582.13","165,744.01","0.00"
09-17-2009,"39,052.63","2,666.39","155,664.44","165,322.97","0.00"
09-16-2009,"39,164.89","2,687.06","154,578.60","162,922.19","0.00"
09-15-2009,"36,077.47","2,581.98","151,175.46","156,911.26","0.00"
09-14-2009,"36,211.34","2,484.95","150,409.36","155,621.27","0.00"
09-11-2009,"36,504.96","2,449.35","149,465.97","154,223.80","0.00"
09-10-2009,"36,207.02","2,497.58","149,086.09","154,582.14","0.00"
09-09-2009,"35,511.81","2,482.08","146,879.59","153,310.06","0.00"
09-08-2009,"34,933.19","2,381.60","145,185.93","154,913.58","0.00"
09-07-2009,"34,056.62","2,351.17","146,034.34","152,566.55","0.00"
09-04-2009,"34,056.62","2,351.17","146,034.34","152,566.55","0.00"
09-03-2009,"33,879.58","2,313.28","144,837.70","149,198.27","0.00"
09-02-2009,"33,741.40","2,398.83","143,409.97","147,970.99","0.00"
09-01-2009,"34,181.84","2,420.07","144,280.85","148,076.72","0.00"
08-31-2009,"35,058.41","2,505.05","146,151.47","150,685.34","0.00"
08-28-2009,"35,736.35","2,538.92","147,126.51","152,333.63","0.00"
08-27-2009,"36,405.65","2,511.94","147,541.22","151,796.13","0.00"
08-26-2009,"36,271.79","2,524.57","148,155.37","149,968.67","0.00"
08-25-2009,"36,353.83","2,552.70","149,222.21","151,751.36","0.00"
08-24-2009,"36,487.69","2,544.66","148,386.47","151,446.78","0.00"
08-21-2009,"36,703.60","2,589.45","147,281.63","151,590.10","0.00"
08-20-2009,"36,310.65","2,582.56","145,752.59","149,001.20","0.00"
08-19-2009,"35,839.98","2,576.24","140,548.16","147,451.43","0.00"
08-18-2009,"35,459.99","2,500.45","140,962.87","146,913.93","0.00"
08-17-2009,"35,002.28","2,475.19","140,839.41","142,963.37","0.00"
08-14-2009,"36,090.43","2,554.43","145,622.80","149,404.30","0.00"
08-13-2009,"36,530.87","2,657.20","146,344.58","150,873.46","0.00"
08-12-2009,"37,118.13","2,657.20","145,173.27","148,087.45","0.00"
08-11-2009,"36,081.79","2,646.29","143,703.11","145,865.84","0.00"
08-10-2009,"36,461.78","2,629.64","144,549.62","147,558.93","0.00"
08-07-2009,"36,841.77","2,583.71","144,704.74","148,266.62","0.00"
08-06-2009,"36,474.74","2,497.58","142,571.05","146,833.31","0.00"
08-05-2009,"36,397.01","2,544.09","142,817.98","147,908.29","0.00"
08-04-2009,"37,049.04","2,536.63","143,639.16","148,302.46","0.00"
08-03-2009,"37,757.20","2,581.98","142,870.89","149,090.77","0.00"
07-31-2009,"37,031.77","2,522.85","139,976.89","146,367.50","0.00"
07-30-2009,"37,174.26","2,503.90","140,795.17","145,830.00","0.00"
07-29-2009,"36,418.60","2,451.65","137,825.34","143,357.55","0.00"
07-28-2009,"36,694.96","2,430.98","138,965.88","143,330.66","0.00"
07-27-2009,"36,375.42","2,394.24","140,529.78","143,420.26","0.00"
07-24-2009,"37,346.99","2,422.94","141,136.39","143,318.12","0.00"
07-23-2009,"40,331.06","2,667.53","138,173.51","141,377.79","0.00"
07-22-2009,"38,148.45","2,612.56","135,124.06","140,410.32","0.00"
07-21-2009,"38,242.97","2,583.71","135,190.41","135,712.83","0.00"
07-20-2009,"37,907.84","2,586.02","135,907.59","136,411.60","0.00"
07-17-2009,"36,885.28","2,546.78","135,932.87","135,377.65","0.00"
07-16-2009,"36,996.99","2,546.21","139,834.72","131,604.03","0.00"
07-15-2009,"36,326.74","2,562.36","138,435.11","131,033.09","0.00"
07-14-2009,"35,209.65","2,498.32","134,176.24","126,920.46","0.00"
07-13-2009,"35,003.42","2,434.27","134,053.03","126,982.90","0.00"
07-10-2009,"33,353.57","2,311.95","130,925.23","123,575.03","0.00"
07-09-2009,"33,555.51","2,305.03","129,658.31","121,648.10","0.00"
07-08-2009,"33,237.57","2,232.91","127,162.39","122,415.30","0.00"
07-07-2009,"32,494.28","2,238.68","125,310.99","120,791.66","0.00"
07-06-2009,"33,555.51","2,295.22","129,411.88","123,655.34","0.00"
07-03-2009,"34,079.68","2,303.30","129,058.03","124,913.21","0.00"
07-02-2009,"34,079.68","2,303.30","129,058.03","124,913.21","0.00"
07-01-2009,"35,059.28","2,343.69","132,375.39","127,420.04","0.00"
06-30-2009,"35,944.35","2,385.23","133,196.83","127,063.19","0.00"
06-29-2009,"35,673.67","2,377.15","134,002.48","126,652.83","0.00"
06-26-2009,"36,038.87","2,329.26","134,375.29","127,072.10","0.00"
06-25-2009,"35,317.07","2,371.96","131,358.07","124,770.48","0.00"
06-24-2009,"34,058.20","2,284.26","129,310.78","121,523.20","0.00"
06-23-2009,"33,375.06","2,283.10","128,170.24","119,551.63","0.00"
06-22-2009,"34,006.64","2,339.65","128,697.86","122,549.12","0.00"
06-19-2009,"35,643.60","2,399.65","132,722.92","124,431.47","0.00"
06-18-2009,"35,057.13","2,383.50","130,817.81","121,219.88","0.00"
06-17-2009,"35,510.41","2,330.99","131,165.34","120,952.23","0.00"
06-16-2009,"35,295.58","2,182.71","131,430.73","121,639.15","0.00"
06-15-2009,"35,738.12","2,201.75","131,674.00","121,407.22","0.00"
06-12-2009,"36,124.80","2,183.29","134,223.63","122,192.27","0.00"
06-11-2009,"36,816.54","2,177.52","135,537.94","124,850.76","0.00"
06-10-2009,"37,203.22","2,184.44","136,675.32","125,118.39","0.00"
06-09-2009,"37,413.75","2,250.79","137,629.46","127,321.89","0.00"
06-08-2009,"37,104.40","2,239.25","138,624.67","128,330.00","0.00"
06-05-2009,"37,619.98","2,261.18","140,378.13","129,061.51","0.00"
06-04-2009,"36,743.50","2,348.88","139,101.74","128,231.86","0.00"
06-03-2009,"36,812.24","2,336.76","136,375.18","125,742.87","0.00"
06-02-2009,"36,490.00","2,375.42","135,348.38","124,440.38","0.00"
06-01-2009,"35,682.27","2,362.15","134,767.05","124,315.49","0.00"
05-29-2009,"33,508.25","2,274.45","131,819.34","121,157.43","0.00"
05-28-2009,"33,362.17","2,223.67","129,661.47","120,497.26","0.00"
05-27-2009,"33,125.86","2,246.18","128,132.33","118,695.20","0.00"
05-26-2009,"33,680.11","2,313.11","127,753.20","116,670.12","0.00"
05-25-2009,"32,498.57","2,238.68","124,322.10","109,283.45","0.00"
05-22-2009,"32,498.57","2,238.68","124,322.10","109,283.45","0.00"
05-21-2009,"32,636.06","2,256.56","125,269.92","110,782.20","0.00"
