" Date","AMZN Mkt Cap","AAPL Mkt Cap","GOOGL Mkt Cap","NFLX Mkt Cap"
12-31-2009,"58,244.87","190,785.89","196,701.27","2,947.06"
12-30-2009,"59,097.85","191,607.96","197,573.77","2,976.05"
12-29-2009,"60,362.16","189,308.38","196,517.26","3,048.16"
12-28-2009,"60,318.86","191,580.81","197,618.19","3,067.42"
12-25-2009,"59,955.16","189,254.05","196,225.37","3,043.35"
12-24-2009,"59,955.16","189,254.05","196,225.37","3,043.35"
12-23-2009,"60,158.66","182,970.94","194,067.93","3,041.21"
12-22-2009,"57,911.48","180,459.93","190,717.56","2,867.88"
12-21-2009,"57,495.81","178,541.47","189,943.42","2,886.61"
12-18-2009,"55,629.66","176,019.57","189,226.39","2,849.70"
12-17-2009,"54,949.87","172,804.15","188,439.55","2,874.30"
12-16-2009,"55,577.70","175,659.32","189,651.53","2,946.52"
12-15-2009,"56,387.38","174,884.72","188,185.74","3,044.95"
12-14-2009,"56,885.31","177,415.65","189,007.47","3,017.67"
12-11-2009,"58,084.67","175,335.08","187,351.32","2,979.69"
12-10-2009,"58,617.24","176,920.27","187,665.41","3,035.32"
12-09-2009,"56,855.00","178,154.18","186,878.58","2,993.60"
12-08-2009,"58,067.35","171,011.81","186,253.56","2,991.46"
12-07-2009,"58,110.65","170,183.19","185,999.75","2,990.92"
12-04-2009,"59,569.80","174,119.14","185,606.33","3,008.04"
12-03-2009,"61,124.21","176,965.28","185,837.94","3,102.19"
12-02-2009,"61,591.83","176,740.13","186,399.51","3,156.22"
12-01-2009,"59,968.15","177,406.62","187,148.26","3,115.03"
11-30-2009,"58,846.72","180,054.61","184,968.62","3,136.43"
11-27-2009,"57,041.18","180,667.08","183,940.66","3,094.70"
11-26-2009,"58,032.71","183,909.54","185,837.94","3,167.99"
11-25-2009,"58,032.71","183,909.54","185,837.94","3,167.99"
11-24-2009,"57,560.76","184,134.69","184,997.17","3,192.06"
11-23-2009,"57,586.74","185,431.68","184,762.39","3,230.05"
11-20-2009,"56,140.58","180,063.64","180,832.68","3,208.11"
11-19-2009,"55,850.48","180,595.03","181,792.74","3,223.63"
11-18-2009,"56,846.34","185,503.73","182,953.95","3,270.17"
11-17-2009,"56,829.02","186,440.44","183,220.46","3,249.84"
11-16-2009,"56,976.23","186,107.17","182,836.56","3,180.83"
11-13-2009,"57,573.75","184,143.70","181,494.51","3,173.88"
11-12-2009,"56,517.27","181,928.03","180,161.97","3,112.89"
11-11-2009,"56,248.82","183,062.89","181,021.77","3,179.76"
11-10-2009,"56,352.74","182,819.70","179,816.15","3,124.13"
11-09-2009,"54,845.96","181,450.69","178,467.75","3,059.93"
11-06-2009,"54,642.45","175,037.85","174,847.69","2,988.25"
11-05-2009,"52,222.08","174,758.72","174,070.38","3,016.60"
11-04-2009,"50,702.31","171,858.44","171,430.69","2,897.31"
11-03-2009,"51,252.20","170,003.05","170,090.59","2,875.37"
11-02-2009,"51,455.70","170,507.43","169,045.91","2,878.05"
10-30-2009,"51,442.71","169,777.87","169,720.21","2,859.32"
10-29-2009,"53,073.76","176,848.22","174,446.62","2,959.36"
10-28-2009,"52,668.05","173,290.52","171,043.47","2,864.14"
10-27-2009,"52,854.23","177,766.90","173,572.88","2,901.59"
10-26-2009,"53,966.96","182,192.60","175,446.98","2,951.34"
10-23-2009,"51,304.16","183,506.32","175,282.36","2,999.34"
10-22-2009,"40,352.36","184,640.08","175,408.99","2,711.92"
10-21-2009,"40,339.41","184,388.13","174,462.44","2,747.34"
10-20-2009,"41,013.03","178,845.33","174,658.72","2,811.07"
10-19-2009,"40,883.49","170,837.07","174,775.85","2,859.30"
10-16-2009,"41,159.84","168,458.33","174,066.73","2,812.80"
10-15-2009,"41,457.79","170,706.83","167,754.30","2,890.88"
10-14-2009,"42,083.91","171,360.77","169,466.95","2,759.97"
10-13-2009,"40,948.26","170,223.09","166,551.33","2,669.26"
10-12-2009,"40,417.14","170,930.77","165,896.02","2,644.57"
10-09-2009,"41,328.25","170,626.22","163,429.93","2,693.37"
10-08-2009,"41,116.66","169,551.22","162,774.63","2,643.42"
10-07-2009,"40,576.90","170,429.12","163,838.31","2,655.48"
10-06-2009,"39,255.57","170,214.13","157,886.77","2,650.88"
10-05-2009,"38,288.33","166,643.41","154,651.41","2,607.82"
10-02-2009,"38,797.86","165,636.51","153,404.12","2,567.63"
10-01-2009,"39,311.71","162,017.33","154,233.54","2,561.89"
09-30-2009,"40,313.50","166,039.61","156,971.88","2,650.88"
09-29-2009,"39,605.34","166,066.50","157,820.29","2,656.05"
09-28-2009,"39,816.92","166,757.99","157,820.29","2,639.40"
09-25-2009,"39,087.17","163,370.09","155,905.03","2,656.05"
09-24-2009,"39,773.74","164,669.04","157,263.13","2,676.72"
09-23-2009,"39,890.33","166,174.01","157,798.13","2,689.93"
09-22-2009,"40,481.91","165,260.26","157,988.07","2,740.45"
09-21-2009,"39,104.44","164,848.18","157,335.94","2,727.25"
09-18-2009,"38,983.54","165,744.01","155,582.13","2,721.51"
09-17-2009,"39,052.63","165,322.97","155,664.44","2,666.39"
09-16-2009,"39,164.89","162,922.19","154,578.60","2,687.06"
09-15-2009,"36,077.47","156,911.26","151,175.46","2,581.98"
09-14-2009,"36,211.34","155,621.27","150,409.36","2,484.95"
09-11-2009,"36,504.96","154,223.80","149,465.97","2,449.35"
09-10-2009,"36,207.02","154,582.14","149,086.09","2,497.58"
09-09-2009,"35,511.81","153,310.06","146,879.59","2,482.08"
09-08-2009,"34,933.19","154,913.58","145,185.93","2,381.60"
09-07-2009,"34,056.62","152,566.55","146,034.34","2,351.17"
09-04-2009,"34,056.62","152,566.55","146,034.34","2,351.17"
09-03-2009,"33,879.58","149,198.27","144,837.70","2,313.28"
09-02-2009,"33,741.40","147,970.99","143,409.97","2,398.83"
09-01-2009,"34,181.84","148,076.72","144,280.85","2,420.07"
08-31-2009,"35,058.41","150,685.34","146,151.47","2,505.05"
08-28-2009,"35,736.35","152,333.63","147,126.51","2,538.92"
08-27-2009,"36,405.65","151,796.13","147,541.22","2,511.94"
08-26-2009,"36,271.79","149,968.67","148,155.37","2,524.57"
08-25-2009,"36,353.83","151,751.36","149,222.21","2,552.70"
08-24-2009,"36,487.69","151,446.78","148,386.47","2,544.66"
08-21-2009,"36,703.60","151,590.10","147,281.63","2,589.45"
08-20-2009,"36,310.65","149,001.20","145,752.59","2,582.56"
08-19-2009,"35,839.98","147,451.43","140,548.16","2,576.24"
08-18-2009,"35,459.99","146,913.93","140,962.87","2,500.45"
08-17-2009,"35,002.28","142,963.37","140,839.41","2,475.19"
08-14-2009,"36,090.43","149,404.30","145,622.80","2,554.43"
08-13-2009,"36,530.87","150,873.46","146,344.58","2,657.20"
08-12-2009,"37,118.13","148,087.45","145,173.27","2,657.20"
08-11-2009,"36,081.79","145,865.84","143,703.11","2,646.29"
08-10-2009,"36,461.78","147,558.93","144,549.62","2,629.64"
08-07-2009,"36,841.77","148,266.62","144,704.74","2,583.71"
08-06-2009,"36,474.74","146,833.31","142,571.05","2,497.58"
08-05-2009,"36,397.01","147,908.29","142,817.98","2,544.09"
08-04-2009,"37,049.04","148,302.46","143,639.16","2,536.63"
08-03-2009,"37,757.20","149,090.77","142,870.89","2,581.98"
07-31-2009,"37,031.77","146,367.50","139,976.89","2,522.85"
