" Date","AMZN Open","AMZN Low","AMZN High","AMZN Close","AMZN Adj. Close","NFLX Open","NFLX Low","NFLX High","NFLX Close","NFLX Adj. Close","AAPL Open","AAPL Low","AAPL High","AAPL Close","AAPL Adj. Close","GOOGL Open","GOOGL Low","GOOGL High","GOOGL Close","GOOGL Adj. Close"
12-31-2009,"137.09 ","134.52 ","137.28 ","134.52 ","134.52 ","7.95 ","7.86 ","8.01 ","7.87 ","7.87 ","6.56 ","6.48 ","6.56 ","7.53 ","6.48 ","312.38 ","309.99 ","312.70 ","309.99 ","309.99 "
12-30-2009,"138.40 ","135.28 ","138.40 ","136.49 ","136.49 ","8.14 ","7.89 ","8.14 ","7.95 ","7.95 ","6.42 ","6.41 ","6.52 ","7.56 ","6.51 ","309.25 ","309.00 ","311.37 ","311.37 ","311.37 "
12-29-2009,"141.29 ","138.55 ","142.58 ","139.41 ","139.41 ","8.26 ","8.13 ","8.28 ","8.14 ","8.14 ","6.54 ","6.42 ","6.54 ","7.47 ","6.43 ","312.37 ","309.14 ","312.42 ","309.70 ","309.70 "
12-28-2009,"139.75 ","138.53 ","141.98 ","139.31 ","139.31 ","8.10 ","8.10 ","8.29 ","8.19 ","8.19 ","6.51 ","6.45 ","6.58 ","7.56 ","6.51 ","310.83 ","309.24 ","313.00 ","311.44 ","311.44 "
12-24-2009,"139.20 ","137.54 ","139.70 ","138.47 ","138.47 ","8.14 ","8.08 ","8.24 ","8.13 ","8.13 ","6.26 ","6.26 ","6.44 ","7.47 ","6.43 ","306.46 ","306.14 ","309.76 ","309.24 ","309.24 "
12-23-2009,"134.80 ","134.35 ","139.05 ","138.94 ","138.94 ","7.74 ","7.73 ","8.13 ","8.12 ","8.12 ","6.19 ","6.18 ","6.23 ","7.22 ","6.22 ","301.75 ","301.43 ","306.43 ","305.84 ","305.84 "
12-22-2009,"133.76 ","132.65 ","135.99 ","133.75 ","133.75 ","7.71 ","7.63 ","7.89 ","7.66 ","7.66 ","6.14 ","6.11 ","6.18 ","7.16 ","6.16 ","300.67 ","299.43 ","300.75 ","300.56 ","300.56 "
12-21-2009,"130.48 ","130.19 ","133.20 ","132.79 ","132.79 ","7.60 ","7.58 ","7.75 ","7.71 ","7.71 ","6.03 ","6.02 ","6.14 ","7.08 ","6.10 ","298.98 ","297.83 ","299.92 ","299.34 ","299.34 "
12-18-2009,"127.91 ","125.65 ","128.79 ","128.48 ","128.48 ","7.70 ","7.57 ","7.71 ","7.61 ","7.61 ","5.94 ","5.92 ","6.01 ","6.98 ","6.01 ","298.01 ","297.50 ","299.46 ","298.21 ","298.21 "
12-17-2009,"129.36 ","126.90 ","130.08 ","126.91 ","126.91 ","7.79 ","7.67 ","7.83 ","7.68 ","7.68 ","5.98 ","5.88 ","6.00 ","6.85 ","5.90 ","298.22 ","296.88 ","298.82 ","296.97 ","296.97 "
12-16-2009,"130.93 ","127.65 ","131.45 ","128.36 ","128.36 ","8.10 ","7.81 ","8.13 ","7.87 ","7.87 ","6.00 ","5.98 ","6.04 ","6.97 ","6.00 ","299.45 ","298.32 ","300.19 ","298.88 ","298.88 "
12-15-2009,"130.76 ","129.59 ","132.46 ","130.23 ","130.23 ","8.02 ","7.99 ","8.21 ","8.13 ","8.13 ","6.02 ","5.95 ","6.08 ","6.93 ","5.97 ","296.65 ","295.50 ","298.19 ","296.57 ","296.57 "
12-14-2009,"132.50 ","129.35 ","132.61 ","131.38 ","131.38 ","8.06 ","7.93 ","8.07 ","8.06 ","8.06 ","6.01 ","5.92 ","6.07 ","7.04 ","6.06 ","297.62 ","296.31 ","298.65 ","297.87 ","297.87 "
12-11-2009,"136.07 ","133.20 ","136.29 ","134.15 ","134.15 ","8.12 ","7.91 ","8.14 ","7.96 ","7.96 ","6.08 ","5.95 ","6.09 ","6.95 ","5.99 ","297.34 ","293.87 ","297.38 ","295.25 ","295.25 "
12-10-2009,"132.41 ","132.40 ","136.19 ","135.38 ","135.38 ","7.95 ","7.95 ","8.16 ","8.11 ","8.11 ","6.14 ","6.03 ","6.14 ","7.02 ","6.04 ","295.22 ","295.20 ","297.36 ","295.75 ","295.75 "
12-09-2009,"134.60 ","129.82 ","134.71 ","131.31 ","131.31 ","8.01 ","7.84 ","8.03 ","7.99 ","7.99 ","5.88 ","5.85 ","6.10 ","7.06 ","6.08 ","293.75 ","291.79 ","294.67 ","294.51 ","294.51 "
12-08-2009,"134.30 ","132.87 ","136.08 ","134.11 ","134.11 ","7.92 ","7.82 ","8.02 ","7.99 ","7.99 ","5.83 ","5.80 ","5.92 ","6.78 ","5.84 ","291.75 ","291.00 ","295.33 ","293.52 ","293.52 "
12-07-2009,"138.00 ","133.84 ","139.00 ","134.21 ","134.21 ","8.14 ","7.93 ","8.14 ","7.99 ","7.99 ","5.95 ","5.80 ","5.96 ","6.75 ","5.81 ","292.12 ","290.50 ","294.35 ","293.13 ","293.13 "
